# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
4.5             	((1.91236904e+02 1.48394722e+02 2.65938046e+02) (1.73031564e+00 -7.38641849e-02 8.05933216e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.92125176e+01 9.37685407e+01 -4.20451806e+01) (-1.43867681e-03 6.01783221e-02 1.20304238e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4.75            	((-9.46454512e+01 -1.18681792e+02 -1.68594396e+02) (1.72019046e+00 -6.79813112e-02 9.34334845e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.93939091e+01 -7.49911002e+01 -3.82669116e+01) (-3.84125956e-03 6.54391429e-02 7.83478613e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5               	((2.66846032e+02 7.32786129e+01 3.51455768e+02) (1.82263546e+00 -7.94243333e-02 1.01717176e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.84844516e+01 1.27150018e+02 3.70492961e+01) (-4.20271822e-03 7.06258573e-02 9.68255365e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5.25            	((-5.33155882e+02 -2.02474873e+02 -3.21315542e+02) (1.62352468e+00 -1.55199065e-01 1.21281538e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.33626005e+02 -1.23405917e+02 -1.94080397e+02) (-9.43023046e-03 7.59738407e-02 -8.65885953e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5.5             	((5.12858747e+02 1.97519478e+02 4.57860827e+02) (1.69118351e+00 -1.34987239e-01 1.30599608e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.16800530e+01 1.64717919e+02 7.04182989e+01) (-1.06446275e-02 8.11353433e-02 -3.68301387e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5.75            	((-8.29927776e+02 -8.12484273e+02 -2.79184726e+02) (1.50489808e+00 -4.85617495e-01 1.48763501e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.23442538e+01 -9.67105994e+01 8.34522034e+01) (-9.69966179e-03 8.60242535e-02 7.51108511e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6               	((7.85331297e+02 1.00376266e+03 2.70834697e+02) (1.57585376e+00 -3.81420669e-01 1.52938378e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.16954534e+02 8.59230349e+01 -3.40464167e+02) (-8.12699316e-03 8.96021306e-02 -1.86638682e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6.25            	((-1.68281046e+03 -1.94917037e+03 -1.41743699e+02) (1.27557403e+00 -7.90357668e-01 1.65713908e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.24170423e+02 -2.53984009e+01 3.67879684e+02) (-6.81766983e-03 9.11375586e-02 5.39426356e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6.5             	((1.94018923e+03 2.29750242e+03 -1.37012850e+02) (1.43715485e+00 -6.33141204e-01 1.66818004e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.22791547e+02 -9.01580026e+01 -3.88744964e+02) (-8.02437575e-03 9.51308648e-02 1.92685379e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6.75            	((-6.93374127e+03 -6.12032307e+03 4.08656322e+02) (4.05879186e-02 -1.87257733e+00 1.84260187e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14429742e+03 2.64463649e+02 -9.72669250e+01) (5.00846281e-03 8.41973503e-02 -5.10017580e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7               	((6.42260514e+03 1.48630973e+03 -3.87922221e+03) (1.07128714e-01 -2.67772543e+00 1.75372652e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.67515451e+03 -1.61069779e+03 2.27303576e+03) (1.95838775e-02 8.29858559e-02 4.17332625e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7.25            	((-3.03295193e+04 -2.14216251e+04 1.32432522e+04) (-3.31028696e+00 -5.76369272e+00 2.13479169e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02304528e+04 5.69771478e+03 -6.84996011e+03) (3.20075623e-02 5.05130973e-02 2.00246251e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7.5             	((3.52654861e+04 1.62339009e+04 -1.40840676e+04) (-2.78387466e+00 -6.11715931e+00 2.16407623e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.31201713e+03 -5.92454468e+03 1.08737879e+04) (4.16738990e-02 6.04042284e-02 4.11582908e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7.75            	((-6.48054106e+04 -4.03124954e+04 8.31657081e+03) (-5.14235900e+00 -8.24758612e+00 1.52308837e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.80441916e+03 4.03077861e+03 -1.73013387e+04) (9.57934842e-02 -5.20310849e-03 5.48310000e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8               	((5.92045451e+04 2.97421930e+04 -3.44527741e+04) (-5.21059306e+00 -8.84040137e+00 9.95024153e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.10798592e+04 -1.41427479e+04 1.68661411e+04) (1.41353152e-01 -2.92312907e-02 5.99178667e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8.25            	((-8.60997852e+04 -4.18660708e+04 5.66853159e+04) (-6.85891732e+00 -9.93981846e+00 1.30837556e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.83438405e+04 2.38518886e+04 -2.73457967e+04) (1.19155567e-01 -4.11972832e-02 5.59809699e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8.5             	((5.21869424e+04 9.96383920e+03 -7.12816559e+04) (-8.20601867e+00 -1.16300604e+01 5.77236877e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.98812029e+04 -2.87044940e+04 1.97321886e+04) (1.79582810e-01 -9.42298511e-02 7.34913836e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8.75            	((-5.00510320e+04 3.31030282e+03 7.60646697e+04) (-8.18144562e+00 -1.13613142e+01 1.04264873e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.38942666e+04 3.12048128e+04 -2.57836059e+04) (1.55320911e-01 -7.47447622e-02 5.17965901e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9               	((1.06618061e+04 -3.29832277e+04 -5.90248794e+04) (-9.64274055e+00 -1.29249295e+01 8.33347276e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.36275487e+04 -2.31272683e+04 1.41071676e+04) (1.79844906e-01 -1.07163935e-01 6.52287103e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9.25            	((-1.22265890e+04 5.52163861e+04 -1.81374991e+03) (-9.68257304e+00 -1.24517030e+01 3.91586950e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.06173445e+04 -9.95328286e+02 -2.52744585e+04) (2.26372860e-01 -1.29715843e-01 3.18516731e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9.5             	((-4.90565332e+04 -9.75948242e+04 3.98445982e+03) (-1.19626962e+01 -1.47666049e+01 3.37628219e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.71836970e+04 3.62010013e+03 7.31360779e+03) (2.42587618e-01 -1.66341659e-01 6.31215403e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9.75            	((2.89804550e+04 1.11892763e+05 -1.18753379e+05) (-1.25268840e+01 -1.46266783e+01 -8.46590219e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.04061649e+05 -4.88543588e+04 -2.36334059e+04) (3.35633336e-01 -2.31263218e-01 3.43836771e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10              	((-1.39029956e+05 -1.73937215e+05 1.12040884e+05) (-1.61683676e+01 -1.75835941e+01 -5.57768581e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.98699288e+04 4.92715451e+04 -1.26153197e+04) (3.26482245e-01 -2.69912130e-01 5.75725109e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10.25           	((1.65884839e+05 2.40145812e+05 -1.95329013e+05) (-1.53050492e+01 -1.59452292e+01 -1.42335955e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.46085251e+05 -8.14369281e+04 3.17331174e+03) (3.87872891e-01 -3.02697429e-01 7.41821855e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10.5            	((-3.05558259e+05 -3.01029349e+05 2.20907203e+05) (-1.97082100e+01 -1.90333477e+01 -5.42578666e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.56180796e+05 9.51578524e+04 -5.27902092e+04) (3.49472571e-01 -3.22309924e-01 2.00001646e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10.75           	((2.34363934e+05 3.01616151e+05 -1.05003993e+05) (-2.12569177e+01 -1.94089428e+01 -9.66572282e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.60914615e+04 -4.30476413e+04 1.87301573e+04) (3.44366106e-01 -3.69815250e-01 4.96547748e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
11              	((-4.53504035e+05 -3.92830878e+05 8.78019426e+04) (-2.69197938e+01 -2.30815551e+01 -9.44243989e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.46576971e+04 4.10314010e+04 -8.64469847e+04) (3.78247545e-01 -4.50477423e-01 2.08117291e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
11.25           	((4.12299799e+05 3.70628267e+05 -2.03518337e+05) (-2.77483342e+01 -2.37482686e+01 -2.59147616e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.68642724e+04 -8.21468068e+04 9.09980290e+04) (4.52547232e-01 -5.44374086e-01 6.39292557e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
11.5            	((-7.19983723e+05 -4.97136784e+05 3.47376051e+05) (-3.42548203e+01 -2.76772180e+01 -5.38106811e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.66108594e+05 1.48466210e+05 -1.84052142e+05) (3.77403745e-01 -5.42279440e-01 5.54969636e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
