# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
2               	((4.37686912e+01 -2.17355908e-01 -6.40984144e-01) (9.71789133e-03 -2.45255055e-05 -1.00629202e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.26882663e-02 -1.93861224e+00 2.14737980e+00) (4.89274624e-06 8.26717810e-05 4.80345679e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4               	((2.67684660e+02 -7.16787623e-01 -2.73139692e+02) (2.90421245e-01 -8.62544763e-04 -1.05045286e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.15437594e+01 -1.15509931e+02 1.29745921e+01) (4.33423497e-04 -6.14999097e-04 1.41305916e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6               	((2.12433082e+02 -3.81229693e-01 -4.06536182e+02) (6.27552177e-01 -2.04245680e-03 -1.63596831e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.50181463e+01 -1.83694177e+02 9.72845348e+00) (6.44214432e-04 1.70969201e-03 3.12342281e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8               	((2.68868030e+02 2.06982892e+00 -2.30129552e+02) (7.78528180e-01 -9.36249441e-04 -1.92878296e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.29090292e+01 -1.13315435e+02 1.23610886e+01) (8.39137138e-04 2.12770886e-03 3.86999585e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10              	((1.16694365e+02 -7.99828363e-02 -4.47378200e+02) (8.49551181e-01 -1.38219352e-04 -1.96254811e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.74545898e+01 -2.01045658e+02 6.04257129e+00) (8.71752328e-04 2.90702120e-03 4.26502119e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12              	((3.06514836e+02 1.47178693e+00 -5.69053143e+01) (9.49393662e-01 4.19673451e-04 -1.48560748e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.05738232e+01 -4.75251484e+01 1.39790779e+01) (7.63740003e-04 6.01692542e-03 4.74397120e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
14              	((-8.92885137e+01 -3.79412402e+01 -4.30852725e+02) (9.31325924e-01 -1.72890260e-02 -1.04384039e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.53675893e+01 -1.89539985e+02 -9.03089802e+00) (7.67916806e-04 7.88981329e-03 4.43391276e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
16              	((3.61667489e+02 1.42874277e+01 9.63092815e+01) (9.94319265e-01 -2.52883638e-02 -1.90068463e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.81614292e+00 1.36510070e+01 1.27823777e+01) (2.28510226e-04 1.22311504e-02 4.45366203e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
18              	((-9.26423572e+01 -1.99740764e+01 -3.62637360e+02) (9.97518681e-01 -3.10628145e-02 5.26022163e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.19008643e+01 -1.59301565e+02 -8.38318466e+00) (-2.55205462e-04 1.56885798e-02 3.99542771e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
20              	((3.63314827e+02 1.93116894e+01 1.53119371e+02) (1.07845199e+00 -2.61743591e-02 1.19959386e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.46312577e+00 3.84026765e+01 9.15445447e+00) (-3.84785022e-04 2.00265172e-02 3.96951604e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
