# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
118             	1.27822506e+05	5.94797404e+05	2.00501874e+05	2.28073443e+05	-2.75715695e+04
120             	-1.27169165e+05	-8.59767365e+05	-2.20287142e+05	-2.37312736e+05	1.70255942e+04
122             	1.81050856e+05	8.36197136e+05	3.30907495e+05	3.46504604e+05	-1.55971089e+04
124             	-1.74402592e+05	-1.09187181e+06	-3.49703906e+05	-3.49254544e+05	-4.49361253e+02
126             	1.74069993e+05	9.26130551e+05	4.35186990e+05	3.91663488e+05	4.35235023e+04
128             	-1.69920399e+05	-1.18449707e+06	-4.35517053e+05	-3.87678926e+05	-4.78381273e+04
130             	1.85124986e+05	1.06228667e+06	5.44335223e+05	4.57292597e+05	8.70426258e+04
132             	-1.37355848e+05	-1.42036214e+06	-4.97899321e+05	-3.86305508e+05	-1.11593813e+05
134             	1.44129897e+05	1.23804631e+06	3.91837415e+05	3.40048605e+05	5.17888100e+04
136             	-1.11244686e+05	-1.62224485e+06	-3.79341732e+05	-3.00915552e+05	-7.84261799e+04
138             	5.61146913e+04	1.53816712e+06	2.16721857e+05	1.64475620e+05	5.22462374e+04
140             	-8.18598436e+04	-1.85604202e+06	-1.77184154e+05	-1.70451921e+05	-6.73223356e+03
142             	7.32002374e+04	1.78910894e+06	5.10499809e+04	9.87252278e+04	-4.76752470e+04
144             	-8.35003684e+04	-1.85108801e+06	-8.97834146e+04	-1.28392076e+05	3.86086611e+04
146             	1.32735746e+05	2.16076153e+06	7.07478616e+04	1.68109676e+05	-9.73618148e+04
148             	-1.16815563e+05	-2.53108742e+06	-6.22931233e+04	-1.47962125e+05	8.56690017e+04
150             	1.94951100e+05	2.56164288e+06	7.89579491e+04	2.34430075e+05	-1.55472126e+05
152             	-2.81975220e+05	-2.90429106e+06	-2.30363437e+05	-3.97156939e+05	1.66793501e+05
154             	2.78235799e+05	2.68520822e+06	3.73544099e+05	4.65007849e+05	-9.14637498e+04
156             	-2.71731101e+05	-3.02716170e+06	-3.15205767e+05	-4.29333984e+05	1.14128217e+05
158             	2.30392177e+05	2.38346390e+06	2.42216310e+05	3.51500332e+05	-1.09284022e+05
160             	-2.88358239e+05	-3.34196067e+06	-3.04012741e+05	-4.40364610e+05	1.36351869e+05
162             	1.91947569e+05	2.67586935e+06	2.51489946e+05	3.17692542e+05	-6.62025957e+04
164             	-1.28262985e+05	-3.28208534e+06	-1.91828016e+05	-2.24176993e+05	3.23489770e+04
166             	1.02366054e+05	3.11579589e+06	1.47959034e+05	1.76345571e+05	-2.83865366e+04
168             	-7.62627040e+04	-3.84549323e+06	-1.33484227e+05	-1.43004817e+05	9.52059058e+03
170             	2.25078346e+05	4.16907191e+06	2.26111013e+05	3.38133852e+05	-1.12022839e+05
172             	-2.65922387e+05	-5.03454813e+06	-2.06032716e+05	-3.68938745e+05	1.62906029e+05
174             	1.60211488e+05	5.76670599e+06	7.64219621e+04	1.98422469e+05	-1.22000507e+05
176             	-1.09867146e+05	-5.90836279e+06	1.23041989e+05	-4.83461513e+04	1.71388140e+05
178             	1.70628230e+05	5.51120431e+06	1.19557815e+05	2.30407138e+05	-1.10849323e+05
180             	-2.56310765e+05	-6.17404239e+06	-1.45663645e+05	-3.29142587e+05	1.83478942e+05
182             	1.47102214e+05	4.81230936e+06	1.17155293e+05	2.05679861e+05	-8.85245675e+04
184             	-1.55873228e+05	-5.68078544e+06	-4.25553945e+04	-1.77150926e+05	1.34595531e+05
186             	2.02026818e+05	4.96369946e+06	4.02988128e+04	2.22176224e+05	-1.81877411e+05
188             	-3.61461759e+05	-6.18136564e+06	-4.23585715e+05	-5.73254617e+05	1.49668901e+05
190             	3.67791085e+05	6.77137836e+06	3.26867029e+05	5.31224599e+05	-2.04357570e+05
192             	-4.12343499e+05	-7.92768821e+06	-2.96032691e+05	-5.60359845e+05	2.64327153e+05
194             	5.69393837e+05	7.58311858e+06	4.24858670e+05	7.81823172e+05	-3.56964502e+05
196             	-7.19060358e+05	-9.25031555e+06	-5.54240425e+05	-9.96180570e+05	4.41940145e+05
198             	6.15335751e+05	9.55731487e+06	3.40177048e+05	7.85424275e+05	-4.45247227e+05
200             	-6.15410801e+05	-9.67505177e+06	-3.22504212e+05	-7.76662907e+05	4.54158695e+05
202             	7.33397467e+05	8.43068191e+06	9.85596395e+05	1.22619566e+06	-2.40599270e+05
204             	-7.47874045e+05	-9.75581417e+06	-1.19260302e+06	-1.34417555e+06	1.51572535e+05
206             	8.44767761e+05	8.40394665e+06	1.98666052e+06	1.83809802e+06	1.48562497e+05
208             	-4.67465902e+05	-9.64114429e+06	-1.76330332e+06	-1.34911756e+06	-4.14185761e+05
210             	2.77921964e+05	9.42785467e+06	1.03620073e+06	7.96022330e+05	2.40178403e+05
212             	-4.34182362e+05	-1.09668358e+07	-7.32397576e+05	-8.00381150e+05	6.79835737e+04
